Language;Name
english;Smith
english;Johnson
english;Williams
english;Brown
english;Jones
english;Garcia
english;Miller
english;Davis
english;Rodriguez
english;Martinez
english;Hernandez
english;Lopez
english;Gonzales
english;Wilson
english;Anderson
english;Thomas
english;Taylor
english;Moore
english;Jackson
english;Martin
english;Lee
english;Perez
english;Thompson
english;White
english;Harris
english;Sanchez
english;Clark
english;Ramirez
english;Lewis
english;Robinson
english;Walker
english;Young
english;Allen
english;King
english;Wright
english;Scott
english;Torres
english;Nguyen
english;Hill
english;Flores
english;Green
english;Adams
english;Nelson
english;Baker
english;Hall
english;Rivera
english;Campbell
english;Mitchell
english;Carter
english;Roberts
english;Gomez
english;Phillips
english;Evans
english;Turner
english;Diaz
english;Parker
english;Cruz
english;Edwards
english;Collins
english;Reyes
english;Stewart
english;Morris
english;Morales
english;Murphy
english;Cook
english;Rogers
english;Gutierrez
english;Ortiz
english;Morgan
english;Cooper
english;Peterson
english;Bailey
english;Reed
english;Kelly
english;Howard
english;Ramos
english;Kim
english;Cox
english;Ward
english;Richardson
english;Watson
english;Brooks
english;Chavez
english;Wood
english;James
english;Bennet
english;Gray
english;Mendoza
english;Ruiz
english;Hughes
english;Price
english;Alvarez
english;Castillo
english;Sanders
english;Patel
english;Myers
english;Long
english;Ross
english;Foster
english;Jimenez
hungarian;Nagy
hungarian;Kovacs
hungarian;Toth
hungarian;Szabo
hungarian;Horvath
hungarian;Varga
hungarian;Kiss
hungarian;Molnar
hungarian;Nemeth
hungarian;Balogh
hungarian;Farkas
hungarian;Lakatos
hungarian;Papp
hungarian;Takacs
hungarian;Juhasz
hungarian;Olah
hungarian;Meszaros
hungarian;Simon
hungarian;Racz
hungarian;Fekete
hungarian;Szilagyi
hungarian;Torok
hungarian;Feher
hungarian;Balazs
hungarian;Gal
hungarian;Kis
hungarian;Szűcs
hungarian;Orsos
hungarian;Kocsis
hungarian;Fodor
hungarian;Pinter
hungarian;Szalai
hungarian;Sipos
hungarian;Magyar
hungarian;Lukacs
hungarian;Gulyas
hungarian;Balog*
hungarian;Biro
hungarian;Kiraly
hungarian;Laszlo
hungarian;Bogdan
hungarian;Jakab
hungarian;Katona
hungarian;Varadi
hungarian;Sandor
hungarian;Boros
hungarian;Fazekas
hungarian;Kelemen
hungarian;Orosz
hungarian;Antal
hungarian;Somogyi
hungarian;Fulop
hungarian;Budai
hungarian;Veres
hungarian;Vincze
hungarian;Deak
hungarian;Hegedűs
hungarian;Pap
hungarian;Balint
hungarian;Illes
hungarian;Pal
hungarian;Vass
hungarian;Szoke
hungarian;Fabian
hungarian;Jonas
hungarian;Lengyel
hungarian;Bodnar
hungarian;Bognar
hungarian;Voros
hungarian;Szucs
hungarian;Hajdu
hungarian;Halasz
hungarian;Mate
hungarian;Szekely
hungarian;Kozma
hungarian;Gaspar
hungarian;Pasztor
hungarian;Bakos
hungarian;Dudas
hungarian;Virag
hungarian;Major
hungarian;Orban
hungarian;Hegedus
hungarian;Barna
hungarian;Novak
hungarian;Tamas
hungarian;Soos
hungarian;Nemes
hungarian;Pataki
hungarian;Balla
hungarian;Csonka
hungarian;Peter
hungarian;Farago
hungarian;Barta
hungarian;Borbely
hungarian;Mezei
hungarian;Kerekes
hungarian;Sarkozi
hungarian;Berki
hungarian;Marton